J&B Importers,Transportation,100%,FL,7/28/2010
J+J Flooring Group,Industrial Goods & Srvcs.,45%,GA,3/10/2016
J.S. McCarthy Printers,Printing & Packaging,100%,ME,9/3/2008
Jackson Family Wines,Wineries & Breweries,21%,CA,6/23/2011
Jackson Hole Airport,Transportation,100%,WY,9/12/2019
Jackson Hole Mountain Resort,Recreation,32%,WY,8/16/2006
Jacobs Engineering Group,Constr. & Eng. Srvcs.,10%,TX,8/25/2014
"Jefferson (Philadelphia University + Jefferson University), East Falls Campus",Education (Higher),100%,PA,1/1/2011
Joe Coffee Company,Restaurants & Cafes,100%,NY,4/25/2019
John Hancock Life Insurance Company / Boston Operations,Insurance,100%,MA,7/7/2015
Johnson & Johnson,Health Care,69%,NJ,6/28/2001
"Johnson Controls, Inc.",Industrial Goods & Srvcs.,22%,WI,1/15/2010
Johnson Printing & Packaging Corp.,Printing & Packaging,100%,MN,3/9/2006
JPMorgan Chase & Co.,Banking & Fin. Srvcs.,14%,NY,4/23/2013
Juice Generation,Restaurants & Cafes,122%,NY,11/1/2018
K-1 Packaging Group,Printing & Packaging,100%,CA,7/14/2008
Kaiser Permanente,Health Care,67%,CA,4/20/2013
Kaldi's Coffee Roasting Co.,Food & Beverage,16%,MO,5/14/2015
Katalyst Data Management / Houston Facility,Consulting Srvcs.,100%,TX,4/6/2015
Kendal at Hanover,Real Estate,100%,NH,4/28/2014
Kent Place School,Education (K-12),100%,NJ,9/3/2009
Kettle Brand,Food & Beverage,101%,OR,9/2/2004
KI Design Center,Industrial Goods & Srvcs.,60%,WI,1/16/2013
Kikkoman Foods / California Location,Food & Beverage,13%,CA,1/22/2013
Kilpatrick Townsend & Stockton LLP,Legal Services,100%,GA,8/21/2008
Kimberly-Clark Corporation,Consumer Products,38%,TX,7/24/2018
Knoll Office,Consumer Products,50%,PA,6/2/2009
"KnownHost, LLC",Technology & Telecom,101%,PA,11/19/2019
Knox College,Education (Higher),101%,IL,6/16/2014
KNTV Television LLC - NBC Bay Area,Media & Publishing,89%,CA,3/19/2008
Kohl's Department Stores,Retail,8%,WI,7/27/2006
Kohler Co.,Consumer Products,106%,WI,1/1/2019
Kona Brewing Company,Wineries & Breweries,23%,HI,11/7/2014
Kualo Ltd.,Technology & Telecom,100%,FL,5/8/2017
"Kwak Brothers, LLC",Retail,100%,TX,1/3/2017
L'Oreal USA Operations,Consumer Products,100%,NY,7/5/2016
Labcon North America,Health Care,99%,CA,5/5/2014
Laddawn Manufacturing,Industrial Goods & Srvcs.,100%,MA,8/12/2009
Lake Travis Independent School District,Education (K-12),6%,TX,11/18/2009
Lane Community College,Education (Higher),27%,OR,7/1/2013
Lebanon Valley College,Education (Higher),100%,PA,5/13/2014
Lenovo,Technology & Telecom,79%,NC,9/22/2010
Levi Strauss & Co.,Clothing & Textile,22%,CA,11/5/2013
Lewis & Clark College,Education (Higher),110%,OR,12/15/2004
Lewis and Clark Community College,Education (Higher),105%,IL,6/1/2014
"LG Electronics USA, Inc.",Technology & Telecom,80%,NJ,2/16/2012
"LGSTX Services, Inc.",Industrial Goods & Srvcs.,10%,OH,10/28/2015
"Lifeway Foods, Inc.",Food & Beverage,100%,IL,1/14/2010
"Lincoln Center, Inc.",Non-Profit (NGO),100%,NY,4/4/2013
Lindy Communities,Real Estate,89%,PA,12/24/2015
Linger,Restaurants & Cafes,100%,CO,4/14/2015
"Link America, LLC",Industrial Goods & Srvcs.,100%,TX,9/27/2012
Lion Bridge Brewing Company,Wineries & Breweries,100%,IA,4/26/2016
Lockheed Martin,Industrial Goods & Srvcs.,21%,MD,9/15/2003
Logboat Brewing Company,Wineries & Breweries,100%,MO,4/14/2015
Logistics Team,Shipping,52%,CA,12/31/2013
Lone Pint Brewery,Wineries & Breweries,100%,TX,5/25/2017
"Lower Merion Township, PA","Govt. (Local, Municipal)",100%,PA,12/17/2018
Loyola Marymount University,Education (Higher),22%,CA,9/24/2003
Loyola University Maryland,Education (Higher),15%,MD,2/17/2016
LPS Industries / Manufacturing Facility,Printing & Packaging,21%,NJ,9/20/2006
Lundberg Family Farms,Ag. & Nat. Resources,100%,CA,5/6/2003
LUSH Handmade Cosmetics Ltd,Retail,101%,NA,2/12/2019
Luther College,Education (Higher),42%,IA,9/14/2012
Lycee Francais of New York,Education (K-12),79%,NY,2/1/2010
"Macy's, Inc. / 11 California and Hawaii Stores",Retail,17%,CA,8/31/2007
Madison Area Technical College / Main Truax Building,Education (Higher),23%,WI,7/6/2019
Maine Beer Company,Wineries & Breweries,125%,ME,8/4/2015
Malvern Schools,Educational (Other),100%,PA,1/12/2012
Mansfield-King,Consumer Products,100%,IN,12/10/2013
Maplewood Richmond Heights School District,Education (K-12),101%,MO,5/19/2015
Marin Country Day School,Education (K-12),66%,CA,4/7/2014
Marine Corps Air Station Miramar,Govt. (Federal),41%,CA,2/24/2016
"Mars, Incorporated",Food & Beverage,76%,VA,10/5/2015
Massachusetts Audubon Society,Non-Profit (NGO),100%,MA,1/28/2004
Master Hydraulics LLC,Industrial Goods & Srvcs.,100%,TX,8/22/2017
Mayorga Coffee,Food & Beverage,100%,MD,1/16/2013
McCormick Distilling,Wineries & Breweries,100%,MO,10/23/2007
Medtronic Spine / Pyramid Campus,Health Care,57%,TN,6/4/2010
Melvin J. Berman Hebrew Academy,Education (K-12),83%,MD,12/31/2018
Mercy Hospital St. Louis,Health Care,7%,MO,6/7/2018
Mercyhurst University,Education (Higher),88%,PA,8/30/2010
"Method Products, PBC",Consumer Products,111%,CA,4/24/2012
MetLife,Insurance,100%,NY,2/15/2011
Metropolitan Transit Authority of Harris County,Transportation,27%,TX,2/17/2015
Michele's Granola,Food & Beverage,100%,MD,11/21/2011
Michigan State University,Education (Higher),7%,MI,3/13/2018
Michigan Technological University,Education (Higher),50%,MI,1/22/2019
Microsoft Corporation,Technology & Telecom,100%,WA,3/23/2012
Midcoast Regional Redevelopment Authority,"Govt. (Local, Municipal)",100%,ME,8/10/2012
Middlebury College,Education (Higher),22%,VT,4/7/2009
Millersville University / Lombardo Welcome Center,Education (Higher),198%,PA,11/9/2018
MilliporeSigma,Industrial Goods & Srvcs.,7%,MA,1/6/2009
Mirasoles Produce USA LLC,Ag. & Nat. Resources,100%,TX,12/4/2018
"Mochizuki Interests, LLC",Health Care,100%,TX,1/4/2018
Modern Litho / Brown Printing,Printing & Packaging,13%,MO,4/29/2015
Mohawk Fine Papers Inc.,Ag. & Nat. Resources,100%,NY,10/28/2003
Molly Moon's Homemade Ice Cream,Restaurants & Cafes,100%,WA,8/16/2016
MOM's Organic Market,Retail,100%,MD,3/21/2005
Monadnock Economic Development Corp,Non-Profit (NGO),67%,NH,2/5/2014
Monadnock Non-Wovens LLC,Clothing & Textile,100%,PA,2/7/2018
Monadnock Paper Mills,Ag. & Nat. Resources,100%,NH,12/28/2012
Monmouth University,Education (Higher),21%,NJ,6/28/2010
Monona Terrace Community and Convention Center,Recreation,109%,WI,4/27/2009
Montgomery County Clean Energy Buyers Group,"Govt. (Local, Municipal)",60%,MD,9/16/2002
Monumental Sports & Entertainment / Capital One Arena,Sports Teams & Venues,22%,DC,12/4/2017
Morrison & Foerster LLP,Legal Services,100%,CA,4/9/2008
Morrissey Engineering,Constr. & Eng. Srvcs.,126%,NE,9/11/2015
Mortenson Construction,Constr. & Eng. Srvcs.,75%,MN,10/11/2007
MOSAIC,Printing & Packaging,100%,MD,4/20/2007
Mosaic Tile Company / Owings Mills Location,Consumer Products,100%,MD,3/25/2009
Mountain View Grand Resort & Spa,Hotels & Lodging,104%,NH,12/16/2009
MWS Wire Industries,Industrial Goods & Srvcs.,56%,CA,5/3/2012
National Aquarium,"Museums, Parks & Zoos",50%,MD,5/3/2015
National Geographic Society,Non-Profit (NGO),123%,DC,9/19/2002
National Renewable Energy Laboratory (NREL),Govt. (Federal),31%,CO,7/17/2001
Natural Resources Defense Council,Non-Profit (NGO),92%,NY,1/22/2016
Nature's Path Foods,Food & Beverage,100%,WA,3/19/2019
Naturepedic Organic Mattresses,Consumer Products,100%,OH,1/9/2015
"Netflix, Inc.",Technology & Telecom,325%,CA,4/4/2017
New Belgium Brewing Company,Wineries & Breweries,10%,CO,7/11/2001
New England Aquarium,"Museums, Parks & Zoos",100%,MA,3/2/2009
New Seasons Market,Retail,100%,OR,4/1/2004
New York Mets,Sports Teams & Venues,100%,NY,11/12/2014
Nord Anglia International School New York,Education (K-12),100%,NY,9/8/2017
Northampton Community College,Education (Higher),100%,PA,7/2/2014
Northeast Ohio Regional Sewer District,"Govt. (Local, Municipal)",35%,OH,7/2/2019
Northern Arizona University,Education (Higher),16%,AZ,8/7/2014
Northwestern University,Education (Higher),38%,IL,2/3/2006
NorthWind Portage / Moab UMTRA Project,Energy Services,15%,CO,3/11/2009
Norwood School,Education (K-12),100%,MD,5/18/2009
"O'Melveny & Myers, LLP / New York Office",Legal Services,100%,NY,7/1/2008
Oak Park Unified School District,Education (K-12),80%,CA,1/22/2018
"Oakhurst Dairy / Waterville, ME Facility",Food & Beverage,20%,ME,3/3/2014
Oberlin College,Education (Higher),39%,OH,12/14/2005
"Office Depot, Inc / Headquarters",Retail,100%,FL,2/25/2017
Ohio University,Education (Higher),50%,OH,12/1/2015
Oklahoma State University,Education (Higher),60%,OK,1/1/2013
Old Stone Church,Religious,100%,OH,10/19/2015
Open City,Restaurants & Cafes,100%,DC,4/21/2014
Ophelia's Electric Soapbox,Restaurants & Cafes,100%,CO,10/19/2015
Oracle Corporation / Austin Facility,Technology & Telecom,10%,CA,6/18/2004
Oregon Convention Center,Recreation,100%,OR,8/4/2004
Oregon Door,Industrial Goods & Srvcs.,48%,OR,3/25/2016
Oregon State Credit Union,Banking & Fin. Srvcs.,21%,OR,8/23/2013
Organic India USA,Consumer Products,100%,CO,5/15/2015
Organic Valley / CROPP Cooperative,Food & Beverage,47%,WI,3/5/2014
Organically Grown Company,Food & Beverage,100%,OR,3/7/2015
Other World Computing,Technology & Telecom,98%,IL,11/9/2009
Outpost Natural Foods,Retail,105%,WI,8/23/2013
Over Easy Cafe,Restaurants & Cafes,100%,NC,2/21/2016
Pagliacci Pizza,Restaurants & Cafes,100%,WA,12/22/2015
Panera Bread / Maryland Locations,Restaurants & Cafes,50%,MD,10/11/2011
Park City Municipal Corporation,"Govt. (Local, Municipal)",37%,UT,7/6/2004
Partners a tasteful choice company,Food & Beverage,125%,WA,1/12/2009
"Patagonia, Inc.",Retail,104%,CA,3/24/2017
Paul Smith's College,Education (Higher),102%,NY,11/18/2010
"PayPal, Inc. / U.S. Data Centers",Banking & Fin. Srvcs.,66%,AZ,4/6/2018
PCC Community Markets,Retail,100%,WA,4/18/2019
Pearson,Media & Publishing,104%,NJ,3/15/2004
"Penguin Random House / Westminster, MD Distribution Center",Media & Publishing,100%,MD,12/29/2010
"Penske Truck Leasing Co., L.P./Penske Logistics, LLC",Transportation,15%,PA,1/20/2014
Performance Foodservice / North Center,Food & Beverage,100%,ME,10/16/2009
PGIM Real Estate - Towers at Great America,Real Estate,7%,CA,4/9/2018
Philadelphia Eagles,Sports Teams & Venues,100%,PA,10/11/2004
Philadelphia Insurance Companies,Insurance,100%,PA,1/28/2014
Philips Lighting / Lighting Institute,Industrial Goods & Srvcs.,100%,MS,6/9/2009
Philips Lighting North America Corporation,Industrial Goods & Srvcs.,100%,NJ,7/7/2016
Philips North America,Health Care,100%,MA,7/5/2016
Phipps Conservatory and Botanical Gardens,"Museums, Parks & Zoos",95%,PA,2/26/2009
Phoenix Press,Printing & Packaging,25%,CT,4/26/2010
Pitney Bowes,Shipping,20%,CT,3/20/2019
PM Hotel Group,Hotels & Lodging,100%,MD,2/3/2020
Port of Portland,Transportation,96%,OR,10/5/2004
Port of Vancouver,Transportation,100%,WA,2/27/2008
Portland Community College,Education (Higher),18%,OR,1/2/2018
Portland Trail Blazers / Moda Center,Sports Teams & Venues,101%,OR,6/20/2018
Post Brothers Apartments,Real Estate,100%,PA,3/24/2017
Post Consumer Brands / Manufacturing Facilities,Food & Beverage,8%,MN,12/23/2013
"Posty Cards, Inc.",Consumer Products,100%,MO,4/17/2012
PPP Center Joint Venture,Other,100%,TX,7/13/2017
"Premium Color Group - HandPack, Inc.",Printing & Packaging,100%,NJ,8/28/2009
"Preotle, Lane & Associates Ltd.",Real Estate,100%,MA,2/24/2010
Prestonwood Kennels,Other,100%,TX,4/5/2017
Primex Plastics Corporation / Reedsburg,Industrial Goods & Srvcs.,12%,WI,4/1/2008
Principia College,Education (Higher),100%,IL,12/2/2014
"Print-Tech, Inc.",Printing & Packaging,120%,MI,12/11/2009
"Priority Artificial Lift Services, LLC",Industrial Goods & Srvcs.,10%,TX,7/21/2017
"ProAmpac / Wrightstown, WI",Industrial Goods & Srvcs.,7%,WI,8/18/2008
Procter & Gamble,Consumer Products,40%,OH,3/7/2017
Prudent Publishing,Media & Publishing,116%,NJ,11/12/2008
PwC,Consulting Srvcs.,100%,NY,2/11/2016
QBE Global,Consulting Srvcs.,100%,VA,4/25/2017
QTS,Technology & Telecom,35%,KS,10/2/2018
Quest Diagnostics / Lab and Office Facilities,Health Care,8%,NJ,7/1/2015
Raritan Valley Community College,Education (Higher),100%,NJ,8/2/2012
Redhook Brewery,Wineries & Breweries,101%,NH,11/7/2014
Redmond Minerals,Ag. & Nat. Resources,99%,UT,9/28/2016
Reformation,Clothing & Textile,100%,CA,12/9/2014
Regis University,Education (Higher),90%,CO,12/8/2009
REI,Retail,111%,WA,3/24/2006
RELX,Media & Publishing,94%,NY,8/28/2012
Remains Lighting,Consumer Products,100%,NY,9/22/2010
"RenewAire, LLC",Industrial Goods & Srvcs.,158%,WI,8/27/2002
Richmond Kickers,Sports Teams & Venues,39%,VA,3/7/2013
Rider University,Education (Higher),65%,NJ,9/18/2013
"Ridgewells, Inc.",Restaurants & Cafes,100%,MD,1/4/2018
Rizzo Mattingly Bosworth PC,Legal Services,100%,OR,5/24/2016
Rochester Institute of Technology,Education (Higher),92%,NY,6/1/2011
"Roos Instruments, Inc.",Industrial Goods & Srvcs.,100%,CA,8/5/2005
Roosevelt University,Education (Higher),26%,IL,6/20/2011
Root Down,Restaurants & Cafes,100%,CO,4/14/2015
S&C Electric Company,Industrial Goods & Srvcs.,100%,IL,9/22/2015
Saffron Fine Foods,Restaurants & Cafes,100%,NC,12/8/2015
Saint Louis University,Education (Higher),105%,MO,3/6/2019
Saint Mary's College of California,Education (Higher),97%,CA,9/3/2015
Saint Paul RiverCentre/Xcel Energy Center,Sports Teams & Venues,97%,MN,2/5/2013
salesforce.com,Technology & Telecom,53%,CA,8/12/2014
Salisbury University,Education (Higher),53%,MD,5/15/2013
Salt Lake City Corporation,"Govt. (Local, Municipal)",14%,UT,6/10/2016
Samsung Electronics and Semiconductors,Technology & Telecom,99%,NJ,8/12/2003
San Mateo County Transit District (SamTrans),Transportation,79%,CA,5/8/2018
Sandy Alexander Inc.,Printing & Packaging,106%,NJ,11/3/2005
"Sandy City, UT","Govt. (Local, Municipal)",10%,UT,2/11/2020
Santa Clara University,Education (Higher),88%,CA,4/11/2005
Santa Fe Natural Tobacco Company,Consumer Products,131%,NC,1/13/2009
SAP America,Technology & Telecom,100%,PA,11/14/2006
Saratoga Spring Water Company,Food & Beverage,100%,NY,9/18/2007
"SAS Industries, Inc.",Industrial Goods & Srvcs.,27%,NY,2/2/2012
"SAU #47, Jaffrey - Rindge",Education (K-12),67%,NH,2/5/2014
Saunders Hotel Group,Hotels & Lodging,100%,MA,1/4/2012
SC Johnson Consumer Brands,Consumer Products,62%,WI,12/20/2010
Schlafly Beer,Wineries & Breweries,102%,MO,1/17/2011
"Sea Turtle, Inc.","Museums, Parks & Zoos",100%,TX,11/8/2017
Seismic Brewing Company,Wineries & Breweries,100%,CA,2/22/2018
Sephora NA,Retail,22%,CA,1/24/2014
Shaddock Caldwell Builders and Developers,Constr. & Eng. Srvcs.,100%,TX,5/31/2017
Shaklee Corporation,Consumer Products,105%,CA,4/6/2007
"Shaw Industries Group, Inc. / Plant 13, Plant 15 and Plant T1",Industrial Goods & Srvcs.,100%,GA,6/18/2014
Sheridan School,Education (K-12),100%,DC,9/16/2009
Sidwell Friends School,Education (K-12),102%,DC,11/18/2009
"Siemens Industry, Inc. / Building Technologies Division",Industrial Goods & Srvcs.,19%,IL,9/29/2009
Sierra Nevada Brewing Company,Wineries & Breweries,17%,CA,6/25/2007
Silverado Apartments,Real Estate,100%,TX,7/5/2017
Simpson Thacher & Bartlett LLP,Legal Services,25%,NY,6/11/2012
Sisters of St. Francis of the Holy Cross,Religious,50%,WI,7/10/2015
Skidmore College,Education (Higher),30%,NY,7/26/2011
Skyetel,Technology & Telecom,125%,WA,6/6/2018
Slippery Rock University,Education (Higher),54%,PA,5/18/2016
Snyder's-Lance Inc. / Hanover Facility,Food & Beverage,27%,PA,6/15/2012
Sony Corporation of America,Technology & Telecom,48%,NY,1/16/2009
South Texas Zoological Society,"Museums, Parks & Zoos",100%,TX,11/29/2017
Southern Connecticut State University,Education (Higher),34%,CT,12/3/2018
Southern Illinois University Edwardsville,Education (Higher),100%,IL,12/19/2015
Southwest Airlines Co. / Dallas & Houston Operations,Transportation,38%,TX,4/28/2009
Southwestern University,Education (Higher),100%,TX,5/11/2010
Spanish Chase Apartments,Real Estate,100%,TX,7/5/2017
Spectrum / Central Texas,Media & Publishing,5%,TX,1/26/2004
Spertus Institute for Jewish Learning and Leadership,Educational (Other),100%,IL,12/2/2013
"SRC Tec, LLC",Industrial Goods & Srvcs.,100%,NY,3/17/2016
"SRC, Inc",Non-Profit (NGO),100%,NY,3/14/2016
St. Camillus Catholic Church,Religious,100%,MD,4/12/2017
St. Lawrence University,Education (Higher),13%,NY,3/31/2017
St. Mary's College of Maryland,Education (Higher),57%,MD,4/21/2007
St. Olaf College,Education (Higher),100%,MN,9/14/2016
Stadio,Sports Teams & Venues,45%,FL,2/8/2016
Standard Insurance Company,Insurance,41%,OR,3/4/2016
Stanford University,Education (Higher),67%,CA,2/2/2017
Starbucks (company-owned cafe retail stores),Restaurants & Cafes,101%,WA,10/8/2004
State of California,Govt. (State),13%,CA,9/18/2014
State of Connecticut,Govt. (State),10%,CT,9/30/2004
State of Delaware,Govt. (State),50%,DE,1/3/2012
State of Minnesota,Govt. (State),6%,MN,8/8/2018
State of New Hampshire,Govt. (State),10%,NH,8/26/2009
State of Wisconsin,Govt. (State),9%,WI,3/24/2008
State Street Corporation,Banking & Fin. Srvcs.,106%,MA,7/25/2007
State University of New York at Cortland,Education (Higher),78%,NY,10/30/2013
"States Logistics Services, Inc.",Shipping,35%,CA,7/8/2011
Statue Cruises,Recreation,100%,NJ,7/7/2015
Steelcase Inc.,Consumer Products,100%,MI,7/11/2001
Stein Sperling Bennett De Jong Driscoll PC / Rockville Office and Warehouse Locations,Legal Services,100%,MD,5/21/2007
"Stolze Printing Company, Inc.",Printing & Packaging,100%,MO,11/29/2007
Stone Cellar Brewpub,Wineries & Breweries,100%,WI,4/26/2016
"Summit Press, Inc.",Printing & Packaging,100%,MA,10/21/2011
Sun Life Financial / Wellesley Campus,Banking & Fin. Srvcs.,5%,MA,8/23/2012
Sundance Resort,Hotels & Lodging,100%,UT,10/27/2010
Sundance Square,Real Estate,100%,TX,9/18/2007
Sunset Ridge School,Education (K-12),58%,IL,8/21/2018
"Super Starr International, LLC",Ag. & Nat. Resources,100%,TX,8/6/2018
Swarthmore College,Education (Higher),108%,PA,12/4/2008
Swiss Re,Insurance,100%,NY,1/28/2015
Switch,Technology & Telecom,100%,NV,10/15/2018
Syracuse University,Education (Higher),34%,NY,6/21/2005
T-Mobile,Technology & Telecom,34%,WA,2/14/2018
Target Corporation,Retail,10%,MN,3/24/2020
"Tate Access Floors, Inc.",Constr. & Eng. Srvcs.,100%,MD,9/18/2012
TD Bank,Banking & Fin. Srvcs.,101%,NJ,5/6/2010
Temple University,Education (Higher),25%,PA,12/16/2016
"Tempo, Inc.",Constr. & Eng. Srvcs.,114%,TX,2/18/2015
"Testa Produce, Inc.",Food & Beverage,34%,IL,5/2/2012
Texas Parks and Wildlife Department,Govt. (State),100%,TX,12/8/2015
The Athenian School,Education (K-12),56%,CA,11/23/2009
The Boeing Company,Industrial Goods & Srvcs.,16%,IL,7/18/2011
"The Breakers Palm Beach, Inc.",Hotels & Lodging,100%,FL,8/27/2009
The Brearley School,Education (K-12),100%,NY,12/23/2011
The Brick Companies,Real Estate,44%,MD,10/12/2004
The British International School of New York,Education (K-12),106%,NY,2/11/2015
"The Cadmus Group, Inc.",Consulting Srvcs.,119%,MA,9/11/2006
The Catholic University of America,Education (Higher),100%,DC,7/12/2002
The Coupe,Restaurants & Cafes,100%,DC,5/1/2013
The da Vinci School,Education (K-12),100%,TX,9/30/2015
The Diner,Restaurants & Cafes,100%,DC,4/21/2014
The Dixie Group's AtlasMasland Contract,Consumer Products,165%,AL,1/23/2008
The Empower School,Education (K-12),100%,TX,10/14/2015
The Estee Lauder Companies Inc. / Operations and Selected Retail Brands,Consumer Products,104%,NY,8/31/2006
The Evergreen State College,Education (Higher),100%,WA,12/29/2005
The Green Glass Company,Consumer Products,100%,WI,10/22/2010
The Hanover Insurance Group,Insurance,59%,MA,3/13/2013
The Hartford Financial Services Group Inc.,Insurance,106%,CT,12/1/2011
The John Roberts Company,Printing & Packaging,12%,MN,3/27/2006
The Joinery,Consumer Products,100%,OR,5/5/2003
The Kresge Foundation,Non-Profit (NGO),100%,MI,3/30/2009
The Macerich Company,Real Estate,23%,CA,12/11/2015
The Metropolitan Pier & Exposition Authority (McCormick Place Convention Center),Recreation,100%,IL,2/27/2013
The Monterey,Real Estate,100%,TX,7/5/2017
The Moonrise Hotel,Hotels & Lodging,14%,MO,6/2/2011
The Morton Arboretum,Non-Profit (NGO),10%,IL,5/15/2015
The Nathan Cummings Foundation,Non-Profit (NGO),100%,NY,2/13/2007
The Nature Conservancy / Headquarters,Non-Profit (NGO),118%,VA,9/16/2002
The O'Dell Corporation,Consumer Products,33%,SC,9/27/2007
The Ohio State University,Education (Higher),17%,OH,1/4/2010
The Paper Mill Store.com,Retail,100%,WI,8/18/2006
The Philadelphia Phillies,Sports Teams & Venues,100%,PA,3/31/2008
The Port Authority of NY & NJ,Transportation,3%,NY,3/5/2013
The Post Sports Bar & Grill,Food & Beverage,25%,MO,5/14/2015
"The QMC Group (Quartier, Midstate, Cayuga)",Printing & Packaging,114%,NY,2/29/2008
The Sentient Bean,Restaurants & Cafes,100%,GA,1/15/2016
The Southern Steak & Oyster,Restaurants & Cafes,100%,TN,10/20/2015
The Synergy Company of Utah,Food & Beverage,85%,UT,9/10/2004
The Timberland Company,Clothing & Textile,47%,NH,6/9/2015
The Tower Companies,Real Estate,103%,MD,2/19/2003
The University of Tulsa / Case Tennis Center,Education (Higher),60%,OK,11/15/2016
"The Village Apartments, Dallas",Real Estate,100%,TX,10/22/2012
The World Bank Group,Non-Profit (NGO),100%,DC,4/22/2003
Thornton Tomasetti,Architecture Srvcs.,25%,NY,3/12/2015
Thoro Packaging,Printing & Packaging,100%,CA,1/8/2009
Tile By Design,Consumer Products,85%,MN,3/23/2009
Tilford Restaurant Group,Restaurants & Cafes,20%,MO,4/10/2015
"Tokio Marine Management, Inc. / NY, NJ, and CA Offices",Insurance,100%,NY,4/30/2015
"Tokyo Electron / Austin, TX Facilities",Technology & Telecom,21%,TX,8/17/2004
Tom's of Maine,Consumer Products,100%,ME,4/16/2009
"TOTO USA / Morrow, GA Facility",Industrial Goods & Srvcs.,100%,GA,8/13/2013
"Town of Atherton, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"Town of Auburn, NH","Govt. (Local, Municipal)",67%,NH,6/5/2018
"Town of Colma, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"Town of Francestown, NH","Govt. (Local, Municipal)",67%,NH,6/5/2018
"Town of Garrett Park, MD","Govt. (Local, Municipal)",100%,MD,6/22/2011
"Town of Glastonbury, CT","Govt. (Local, Municipal)",56%,CT,9/25/2009
"Town of Hanover, NH","Govt. (Local, Municipal)",105%,NH,3/12/2014
"Town of Hillsborough, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"Town of Jackson, WY","Govt. (Local, Municipal)",12%,WY,2/28/2019
"Town of Jaffrey, NH","Govt. (Local, Municipal)",67%,NH,6/5/2018
"Town of Mountain Village, CO","Govt. (Local, Municipal)",45%,CO,1/7/2013
"Town of Norwich, VT","Govt. (Local, Municipal)",59%,VT,9/1/2015
"Town of Peterborough, NH","Govt. (Local, Municipal)",100%,NH,2/3/2014
"Town of Rindge, NH","Govt. (Local, Municipal)",67%,NH,2/3/2014
"Town of Springdale, UT","Govt. (Local, Municipal)",35%,UT,10/7/2008
"Town of Swanzey, NH","Govt. (Local, Municipal)",67%,NH,6/5/2018
"Town of Wellesley, MA","Govt. (Local, Municipal)",5%,MA,5/24/2012
"Town of West Hartford, CT","Govt. (Local, Municipal)",22%,CT,10/21/2014
"Town of Windham, NH","Govt. (Local, Municipal)",67%,NH,3/25/2015
"Town of Woodside, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
Toyota Motor North America / Headquarters Campus,Automotive,191%,TX,4/1/2020
Toyota Motor North America / TLS Portland Vehicle Distribution Center,Automotive,42%,OR,10/6/2010
Traditional Medicinals,Food & Beverage,82%,CA,8/1/2014
Trane Technologies,Industrial Goods & Srvcs.,25%,NC,4/16/2020
Treasure Mountain Inn,Hotels & Lodging,101%,UT,7/10/2007
Trek Bicycle Corporation,Consumer Products,100%,WI,9/25/2013
Trojan Lithograph Corporation,Printing & Packaging,15%,WA,3/3/2014
Tryst,Restaurants & Cafes,100%,DC,4/21/2014
Tucson Unified School District,Education (K-12),35%,AZ,4/16/2015
TurnKey Internet Inc.,Technology & Telecom,49%,NY,4/4/2019
Twin Cities Bowling,Recreation,100%,TX,2/5/2017
U.S. Army / Fort Carson,Govt. (Federal),5%,CO,8/2/2005
U.S. Department of Agriculture,Govt. (Federal),21%,DC,8/24/2007
U.S. General Services Administration,Govt. (Federal),10%,DC,8/23/2003
"Ulster County, NY","Govt. (Local, Municipal)",150%,NY,6/23/2014
"Ulta Beauty, Inc.",Retail,7%,IL,4/3/2019
Unibail-Rodamco-Westfield,Real Estate,54%,CA,3/19/2019
Unilever,Consumer Products,100%,NJ,4/10/2013
Union College,Education (Higher),96%,NY,3/29/2011
Union of Concerned Scientists,Non-Profit (NGO),100%,MA,1/26/2004
United Nations Federal Credit Union,Banking & Fin. Srvcs.,131%,NY,4/10/2017
"United Parcel Service (UPS) / Palm Springs, CA Facility",Shipping,48%,CA,3/3/2005
United Services Automobile Association (USAA),Insurance,21%,TX,5/24/2010
Unity College,Education (Higher),115%,ME,10/18/2004
University at Albany,Education (Higher),5%,NY,2/3/2016
"University at Buffalo, the State University of New York",Education (Higher),100%,NY,11/12/2003
University of California,Education (Higher),30%,CA,4/5/2013
University of Cincinnati Clermont Campus,Education (Higher),100%,OH,3/11/2019
University of Colorado Colorado Springs,Education (Higher),77%,CO,11/26/2013
University of Illinois at Urbana-Champaign,Education (Higher),7%,IL,1/12/2015
University of Louisiana at Lafayette / South Campus,Education (Higher),19%,LA,2/4/2019
University of Maryland,Education (Higher),53%,MD,10/26/2010
"University of Maryland, Eastern Shore",Education (Higher),18%,MD,3/2/2015
University of Minnesota,Education (Higher),15%,MN,8/23/2017
"University of Minnesota, Morris",Education (Higher),58%,MN,2/8/2012
University of Missouri,Education (Higher),33%,MO,1/7/2014
University of New Hampshire,Education (Higher),100%,NH,8/7/2017
University of Oklahoma,Education (Higher),70%,OK,9/16/2011
University of Pittsburgh,Education (Higher),15%,PA,11/8/2018
University of Richmond,Education (Higher),10%,VA,8/17/2012
